au_id,au_tl,au_ar,au_sh,sh_ar,date,cit,bio,incrp
1790,"Muḥammad b. Mūsā b. ʿĪsā b. ʿAlī ad-Damīrī, Abū al-Baqāʾ, Kamāl ad-Dīn ash-Shāfiʿī (t. 808H)","محمد بن موسى بن عيسى بن علي الدميري، أبو البقاء، كمال الدين الشافعي (ت ٨٠٨هـ)",al-Damīrī,الدميري,808,-,-,-
1791,"Muḥammad b. Qāsim b. Yaʿqūb al-Amāsī al-Ḥanafī, Muḥayy ad-Dīn, b. al-Khaṭīb Qāsim (t. 940H)","محمد بن قاسم بن يعقوب الأماسي الحنفي، محيي الدين، ابن الخطيب قاسم (ت ٩٤٠هـ)",al-Amāsī,الأماسي,940,-,-,-
1793,Yansab li-Abū Bakr al-Khwārazmī Muḥammad b. al-ʿAbbās (t. 383H),ينسب لأبي بكر الخوارزمي محمد بن العباس (ت ٣٨٣هـ),"al-Khwārizmī, Abū Bakr","الخوارزمي، أبو بكر",383,-,-,-
1794,"Zayd b. ʿAbd Allāh b. Masʿūd b. Rafāʿah, Abū al-Khayr al-Hāshimī (t. baʿd 400H)","زيد بن عبد الله بن مسعود بن رفاعة، أبو الخير الهاشمي (ت بعد ٤٠٠هـ)",Ibn Rifāʿa,ابن رفاعة,400,-,-,-
1812,Muḥammad Ḍiyāʾ ar-Raḥmān al-Aʿẓamī,محمد ضياء الرحمن الأعظمي,Muḥammad Ḍiyāʾ al-Raḥmān al-Aʿẓamī,محمد ضياء الرحمن الأعظمي,1441,-,-,-
1815,ʿAbd al-Qādir b. Ḥabīb Allāh as-Sindī,عبد القادر بن حبيب الله السندي,ʿAbd al-Qādir b. Ḥabīb Allāh al-Sindī,عبد القادر بن حبيب الله السندي,1418,-,-,-
1822,Aḥmad ʿAlī Ṭa Rīyān,أحمد علي طه ريان,Aḥmad ʿAlī Ṭāhā Rayyān,أحمد علي طه ريان,1442,-,-,-
1831,"Mūsā b. ʿUqba b. Abī ʿIyāsh al-Asadī bi al-Walāʾ, Abū Muḥammad, Mūlā Āl az-Zubayr (t. 141H)","موسى بن عقبة بن أبي عياش الأسدي بالولاء، أبو محمد، مولى آل الزبير (ت ١٤١هـ)",Mūsā b. ʿUqba,موسى بن عقبة,141,-,-,-
1833,ʿAbd al-Karīm b. ʿAbd aṣ-Ṣamad b. Muḥammad b. ʿAlī b. Muḥammad al-Qaṭān Abū Maʿshar aṭ-Ṭabarrī (t. 478H),عبد الكريم بن عبد الصمد بن محمد بن علي بن محمد القطان أبو معشر الطبري (ت ٤٧٨هـ),"al-Ṭabarī, Abū Maʿshar","الطبري، أبو معشر",478,-,-,-
1835,Abū Bakr Muḥammad b. ʿAbd Allāh al-Mālakī al-Abharī (t. 375H),أبو بكر محمد بن عبد الله المالكي الأبهري (ت ٣٧٥ هـ),al-Abharī,الأبهري,375,-,-,-
1872,"ʿAbd al-Muʾmin b. Khalaf ad-Damiyāṭī, Abū Muḥammad, Sharaf ad-Dīn ash-Shāfiʿī (t. 705H)","عبد المؤمن بن خلف الدمياطيّ، أبو محمد، شرف الدين الشافعي (ت ٧٠٥هـ)",ʿAbd al-Muʾmin b. Khalaf al-Dimyāṭī,عبد المؤمن بن خلف الدمياطي,705,-,-,-
1877,"Zāhir b. Ṭāhir b. Muḥammad ash-Shaḥḥāmī, Abū al-Qāsim (t. 533H)","زاهر بن طاهر بْنُ مُحَمَّدِ الشحّامي، أبو القاسم (ت ٥٣٣هـ)",Zāhir al-Shaḥḥāmī,زاهر الشحامي,533,-,-,-
1928,Muḥammad b. ʿAlī b. Muḥammad al-Maʿrūf bi Ibn al-ʿUmrānī (t. 580H),محمد بن علي بن محمد المعروف بابن العمراني (ت ٥٨٠هـ),Ibn al-ʿImrānī,ابن العمراني,580,-,-,-
1930,Abū ʿAbd Allāh Aḥmad b. Muḥammad b. Isḥāq al-Hamadānī al-Maʿrūf bi Ibn al-Faqīh (t. 365H),أبو عبد الله أحمد بن محمد بن إسحاق الهمداني المعروف بابن الفقيه (ت ٣٦٥),Ibn al-Faqīh,ابن الفقيه,340,-,-,-
1931,"ʿAlī b. Abū Bakr b. ʿAlī al-Harawī, Abū al-Ḥasan (t. 611H)","علي بن أبي بكر بن علي الهروي، أبو الحسن (ت ٦١١هـ)","al-Harawī, Abū al-Ḥasan","الهروي، أبو الحسن",611,-,-,-
1932,Majhūl (tawfī: baʿd 372H),مجهول (توفي: بعد ٣٧٢هـ),Muʾallif: Ḥudūd al-ʿĀlam min al-Mashriq ilā al-Maghrib,مؤلف: حدود العالم من المشرق إلى المغرب,372,-,-,-
1933,Abū Zayd Ḥasan b. Yazīd as-Sīrāfī (t. baʿd 330H),أبو زيد حسن بن يزيد السيرافي (ت بعد ٣٣٠هـ),"al-Sīrāfī, Abū Zayd","السيرافي، أبو زيد",330,-,-,-
1935,Isḥāq b. al-Ḥusayn al-Munajjim (t. q. 4H),إسحاق بن الحسين المنجم (ت ق ٤هـ),Isḥāq b. al-Ḥusayn al-Munajjim,إسحاق بن الحسين المنجم,350,-,-,-
1936,ar-Rābī Binyāmīn b. ar-Rābī Yūnah at-Taṭṭīlī an-Nabarī al-Isbānī al-Yahūdī (t. 569H),الرابي بنيامين بن الرابي يونة التطيلي النباري الإسباني اليهودي (ت ٥٦٩هـ),Benjamin al-Tuṭīlī,بنيامين التطيلي,569,-,-,-
1937,Kātib Marrākshī (tawfī: q. 6H),كاتب مراكشي (توفي: ق ٦هـ),Muʾallif: al-Istibṣār fī ʿAjāʾib al-Amṣār,مؤلف: الاستبصار في عجائب الأمصار,550,-,-,-
1938,"ʿAbd ar-Raḥmān b. Aḥmad b. Yūnus aṣ-Ṣadafī, Abū Saʿīd (t. 347H)","عبد الرحمن بن أحمد بن يونس الصدفي، أبو سعيد (ت ٣٤٧هـ)",Ibn Yūnus al-Miṣrī,ابن يونس المصري,347,-,-,-
1939,"al-Mubārak b. Aḥmad b. al-Mubārak b. Mawhūb al-Lakhamī al-Irbilī, al-Maʿrūf bi Ibn al-Mustawfī (t. 637H)","المبارك بن أحمد بن المبارك بن موهوب اللخمي الإِربلي، المعروف بابن المستوفي (ت ٦٣٧هـ)","al-Irbilī, Ibn al-Mustawfī","الإربلي، ابن المستوفي",637,-,-,-
1940,"Aslam b. Sahl b. Aslam b. Ḥabīb ar-Razzāz al-Wāsiṭī, Abū al-Ḥasan, Baḥshal (t. 292H)","أسلم بن سهل بن أسلم بن حبيب الرزّاز الواسطي، أبو الحسن، بَحْشَل (ت ٢٩٢هـ)",Baḥshal,بحشل,292,-,-,-
1941,"Muḥammad b. Ḥuql al-Baghdādī al-Mūṣilī, Abū al-Qāsim (t. baʿd 367H)","محمد بن حوقل البغدادي الموصلي، أبو القاسم (ت بعد ٣٦٧هـ)",Ibn Ḥawqal,ابن حوقل,367,-,-,-
1942,al-Ḥasan b. Aḥmad al-Mahlabī al-ʿAzīzī (t. 380H),الحسن بن أحمد المهلبي العزيزي (ت ٣٨٠هـ),"al-Muhallabī, al-Ḥasan b. Aḥmad","المهلبي، الحسن بن أحمد",380,-,-,-
1943,"Aḥmad b. Ibrāhīm b. Muḥammad b. Khalīl, Muwafaq ad-Dīn, Abū Dharr Sabṭ Ibn al-ʿAjmī (t. 884H)","أحمد بن إبراهيم بن محمد بن خليل، موفق الدين، أبو ذر سبط ابن العجمي (ت ٨٨٤هـ)",Sibṭ Ibn al-ʿAjamī,سبط ابن العجمي,884,-,-,-
1944,"Muwafaq ad-Dīn Abū Muḥammad b. ʿAbd ar-Raḥmān, b. ash-Shaykh Abū al-Ḥaram Makki b. ʿUthmān ash-Shāriʿī ash-Shāfiʿī (t. 615H)","موفق الدين أبو محمد بن عبد الرحمن، ابن الشيخ أبي الحرم مكّي بن عثمان الشارعي الشافعي (ت ٦١٥هـ)",Zayn al-Dīn b. al-Muwaffaq,زين الدين ابن الموفق,615,-,-,-
1945,"Kāmel b. Ḥusayn b. Muḥammad b. Muṣṭafā al-Bālī al-Ḥalabī, ash-Shahīr bil-Ghazī (t. 1351H)","كامل بن حسين بن محمد بن مصطفى البالي الحلبي، الشهير بالغزي (ت ١٣٥١هـ)",Kāmil al-Ghazzī,كامل الغزي,1351,-,-,-
1975,,,Muḥammad b. Ḥumūd al-Wāʾilī,محمد بن حمود الوائلي,1431,-,-,-
1976,Muḥammad Jamīl b. ʿUmar al-Baghdādī al-maʿrūf b. Shattī,محمد جميل بن عمر البغدادي المعروف بابن شطي,Jamīl al-Shaṭṭī,جميل الشطي,1379,-,-,-
1982,Muḥammad ʿAbd al-Khāliq ʿUḍaymah (t 1404 AH),محمد عبد الخالق عضيمة (ت ١٤٠٤ هـ),Muḥammad ʿAbd al-Khāliq ʿUḍayma,محمد عبد الخالق عضيمة,1404,-,-,-
2000,Muḥammad Bakr Ismāʿīl (t 1426 AH),محمد بكر إسماعيل (ت ١٤٢٦هـ),Muḥammad Bakr Ismāʿīl,محمد بكر إسماعيل,1426,-,-,-
2002,Muḥammad Ibrāhīm al-Fayyūmī (t 1427 AH),محمد إبراهيم الفيومي (ت ١٤٢٧هـ),Muḥammad Ibrāhīm al-Fayyūmī,محمد إبراهيم الفيومي,1427,-,-,-
2004,D. ʿUthmān Amīn,د/ عثمان أمين,ʿUthmān Amīn,عثمان أمين,1398,-,-,-
2006,"Abū Muḥammad b. ʿAbd al-Wāḥid b. Aḥmad b. ʿĀshir al-Anṣārī al-Andalusī, al-Maghribī al-Fāsī (t 1090 AH)","أبو محمد بن عبد الواحد بن أحمد بن عاشر الأنصاري الأندلسي، المغربي الفاسي (ت ١٠٩٠هـ)",Ibn ʿĀshir,ابن عاشر,1090,-,-,-
2007,Muḥammad b. al-Ḥasan b. al-ʿArabiyy b. Muḥammad al-Ḥajwī al-Thaʿālībī al-Jaʿfarī al-Fāsī (t 1376 AH),محمد بن الحسن بن العربيّ بن محمد الحجوي الثعالبي الجعفري الفاسي (ت ١٣٧٦هـ),al-Ḥajwī,الحجوي,1376,-,-,-
2008,D. ʿAbd al-Fattāḥ Ismāʿīl Shalabī,الدكتور/ عبد الفتاح إسماعيل شلبي,ʿAbd al-Fattāḥ Shalabī,عبد الفتاح شلبي,1422,-,-,-
2010,ʿAbd al-Bāsiṭ b. Mūsā b. Muḥammad b. Ismāʿīl al-ʿAlmūwī thumma al-Muwaqqat al-Dimashqī al-Shāfiʿiyy (t 981 AH),عبد الباسط بن موسى بن محمد بن إسماعيل العلموي ثم الموقت الدمشقي الشافعيّ (ت ٩٨١هـ),al-ʿAlmawī,العلموي,981,-,-,-
2011,"Aḥmad b. ʿAlī b. Aḥmad b. Khalaf al-Anṣārī al-Gharnāṭī, Abū Jaʿfar, al-maʿrūf b. al-Bādhish (t 540 AH)","أحمد بن علي بن أحمد بن خلف الأنصاري الغرناطي، أبو جعفر، المعروف بابن البَاذِش (ت ٥٤٠هـ)",Ibn al-Bādhash,ابن الباذش,540,-,-,-
2012,ʿAlī al-Jārm wa-Muṣṭafā Amīn,على الجارم ومصطفى أمين,ʿAlī al-Jārim,علي الجارم,1368,-,-,-
2065,Muḥammad Raʾfat ʿUthmān,محمد رأفت عثمان,Muḥammad Raʾfat ʿUthmān,محمد رأفت عثمان,1438,-,-,-
2075,,,Ibrāhīm al-Saqqā,إبراهيم السقا,1298,-,-,-
2079,"Aḥmad b. Muḥammad b. Muḥammad al-Bajāʾī al-ʾAbbadhī, Shahāb al-Dīn al-Andalusī (t 860 AH)","أحمد بن محمد بن محمد البجائي الأٌبَّذيٌ، شهاب الدين الأندلسي (ت ٨٦٠هـ)",al-Shihāb al-Abdhī,الشهاب الأبذي,860,-,-,-
2087,Ṣāliḥ b. ʿUmar b. Raslān al-Balqīnī al-Shāfiʿiyy Shaykh al-Islām (t 868 AH),صالح بن عمر بن رسلان البلقيني الشافعيّ شيخ الإسلام (ت ٨٦٨هـ),al-Bulqīnī,البلقيني,868,-,-,-
2100,Muḥammad Muṣṭafā al-Majdhūb,محمد مصطفى المجذوب,Muḥammad al-Majdhūb,محمد المجذوب,1420,-,-,-
2109,Aḥmad b. Saʿd Ḥamadān al-Ghāmidī,أحمد بن سعد حمدان الغامدي,Aḥmad b. Saʿd Ḥamdān al-Ghāmidī,أحمد بن سعد حمدان الغامدي,1434,-,-,-
2133,Ibrāhīm Zayd al-Kīlānī,إبراهيم زيد الكيلاني,Ibrāhīm Zayd al-Kaylānī,إبراهيم زيد الكيلاني,1434,-,-,-
2138,ʿUmar ʿAbd al-Raḥmān al-Sārīsī,عمر عبد الرحمن الساريسي,ʿUmar ʿAbd al-Raḥmān al-Sārīsī,عمر عبد الرحمن الساريسي,1434,-,-,-
2149,ʿUmar b. Muḥammad b. Muḥammad Bakr Fullaṭa (bi-l-tā’) aw al-Fullānīyyu (bi-l-nūn) (t 1419 AH),عمر بن محمد بن محمد بكر فُلاَّتَة (بالتاء) أو الفُلاَّنِيُّ (بالنون) (ت ١٤١٩هـ),ʿUmar Fallāta,عمر فلاتة,1419,-,-,-
2151,Muḥammad al-ʿAbūdī,محمد العبودي,Muḥammad b. Nāṣir al-ʿAbbūdī,محمد بن ناصر العبودي,1443,-,-,-
2168,Masʿūd al-Nadawī,مسعود الندوي,Masʿūd al-Nadwī,مسعود الندوي,1373,-,-,-
2185,"Shams al-Dīn, Abū al-Qāsim al-Ḥusayn ibn Abī al-Ghanāʾim Hibah Allāh b. Maḥfūẓ b. al-Ḥasan b. Muḥammad b. al-Ḥasan b. Aḥmad b. al-Ḥusayn b. Ṣaṣrā al-Rubʿiyy, al-Taghallabiyy, al-Jazariyy, al-Baladiyy, al-Dimashqiyy (t 626 AH)","شَمْسُ الدِّيْنِ، أَبُو القَاسِمِ الحُسَيْنُ ابنُ أَبِي الغَنَائِمِ هِبَة اللهِ بن مَحْفُوْظ بن الحَسَنِ بنِ مُحَمَّدِ بنِ الحَسَنِ بنِ أَحْمَدَ بنِ الحُسَيْنِ بنِ صَصْرَى الرَّبَعِيّ، التَّغْلِبِيّ، الجَزَرِيّ، البَلَدِيّ، الدِّمَشْقِيّ (ت ٦٢٦هـ)","Ibn Ṣaṣrā, Shams al-Dīn",ابن صصرىن شمس الدين,626,-,-,-
2186,"Muḥammad b. al-Qāsim b. Maʿrūf, Abū ʿAlī al-Tamīmī al-Dimashqī al-Shahīr b. Ḥabīb (t 347 AH)","محمد بن القاسم بن معروف، أبو علي التميمي الدمشقي الشهير بابن حبيب (ت ٣٤٧هـ)",Ibn Ḥabīb,ابن حبيب,347,-,-,-
2187,"Muḥammad b. Aḥmad b. ʿAbd Allāh b. Naṣr al-Dhuhulī, Abū al-Ṭāhir al-Mālakī (t 367 AH)","محمد بن أحمد بن عبد الله بن نصر الذُّهْلي، أبو الطاهر المالكي (ت ٣٦٧ هـ)",Abū al-Ṭāhir al-Dhuhlī,أبو الطاهر الذهلي,367,-,-,-
2188,Abū Muḥammad Ḥājib b. Aḥmad b. Yarḥum b. Sufyān al-Ṭūsī (t 336 AH),أَبُو مُحَمَّدٍ حَاجِبُ بنُ أَحْمَدَ بنِ يَرْحُمَ بنِ سُفْيَانَ الطُّوْسِيُّ (ت ٣٣٦هـ),"al-Ṭūsī, Ḥājib b. Aḥmad","الطوسي، حاجب بن أحمد",336,-,-,-
2189,"al-Qāsim b. al-Fiḍl b. Aḥmad b. Aḥmad ibn Maḥmūd al-Thaqafī al-Aṣbahānī, Abū ʿAbd Allāh (t 489 AH)","القاسم بن الفضل بن أحمد بن أحمد ابن محمود الثقفي الأصبهاني، أبو عبد الله (ت ٤٨٩هـ)",al-Qāsim b. al-Faḍl al-Thaqafī,القاسم بن الفضل الثقفي,489,-,-,-
2190,"Muḥammad b. Muḥammad b. Muḥammad b. Aḥmad al-Badīrī al-Ḥusaynī al-Damyāṭī al-Ashʿarī al-Shāfiʿiyy, Abū Ḥāmid (t 1140 AH)","محمد بن محمد بن محمد بن أحمد البديري الحسيني، الدمياطيّ الأشعري الشافعيّ، أبو حامد (ت ١١٤٠هـ)",al-Budayrī,البديري,1140,-,-,-
2193,"Abū Bakr Aḥmad b. Muḥammad b. Ismāʿīl al-Bannā’, ibn al-Muhandis (t 385 AH)",أَبُو بَكْرٍ أَحْمَدُ بنُ مُحَمَّدِ بنِ إِسْمَاعِيْلَ البنَّاءُ ابْنُ المُهَنْدِسِ (ت ٣٨٥هـ),Ibn al-Muhandis,ابن المهندس,385,-,-,-
2194,"Abū Bakr Aḥmad b. ʿAlī b. al-Ḥusayn b. Zakariyyā al-Ṭuraythīthiyy, thumma al-Baghdādī al-Ṣūfī al-Maʿrūf: bi-ibn Zahra’ (t 497 AH)","أَبُو بَكْرٍ أَحْمَدُ بنُ عَلِيِّ بنِ الحُسَيْنِ بنِ زَكَرِيَّا الطُّرَيْثِيْثِيّ، ثُمَّ البَغْدَادِيّ، الصُّوْفِيّ، المَعْرُوف: بِابْنِ زَهْرَاءَ (ت ٤٩٧هـ)",Abū Bakr al-Ṭaraythīthī,أبو بكر الطريثيثي,497,-,-,-
2195,Aḥmad b. ʿAlī b. ʿAbd Allāh b. ʿUmar b. Khalaf al-Shīrāzī Abū Bakr al-Nīsābūrī (t 487 AH),أحمد بن علي بن عبد الله بن عمر بن خلف الشيرازي أبو بكر النيسابوري (ت ٤٨٧هـ),"al-Shīrāzī, Abū Bakr","الشيرازي، أبو بكر",487,-,-,-
2196,"Ṭirād b. Muḥammad b. ʿAlī al-Hāshimī al-ʿAbbāsī al-Zaynabī, Abū al-Fawāris (t 491 AH)","طِرَاد بن محمد بن علي الهاشمي العباسي الزَّيْنَبي، أبو الفوارس (ت ٤٩١هـ)",Ṭirād al-Zaynabī,طراد الزينبي,491,-,-,-
2199,"Muḥammad b. ʿAlī b. ʿUbayd Allāh b. Aḥmad b. Ṣāliḥ b. Sulaymān b. Wudaʿān al-Mawṣilī, Abū Naṣr (t 494 AH)","محمد بن علي بن عبيد الله بن أحمد بن صالح بن سليمان بن ودعان الموصلي، أبو نصر (ت ٤٩٤هـ)",Ibn Wadʿān,ابن ودعان,494,-,-,-
2200,"Aḥmad b. Abī Bakr b. ʿAlī b. Ismāʿīl al-Ḥammawī, ibn al-Rassām (t 844 AH)","أحمد بن أبي بكر بن علي بن إسماعيل الحموي، ابن الرَّسَّام (ت ٨٤٤هـ)",Ibn al-Rassām,ابن الرسام,844,-,-,-
2254,Muḥammad ʿAbd Allāh ʿAnān al-Muʾarrikh al-Miṣrī (t 1406 AH),محمد عبد الله عنان المؤرخ المصري (ت ١٤٠٦هـ),Muḥammad ʿAbd Allāh ʿInān,محمد عبد الله عنان,1406,-,-,-
2282,al-Ustādh al-Duktur Mūsā Shāhīn Lāshīn,الأستاذ الدكتور موسى شاهين لاشين,Mūsā Shāhīn Lāshīn,موسى شاهين لاشين,1430,-,-,-
2309,,,Āghā Buzurg al-Ṭihrānī,آغا بزرك الطهراني,1389,-,-,-
2317,Jamīl b. Muṣṭafā b. Muḥammad Ḥāfiẓ al-maʿrūf biʾ Ibn al-ʿAẓam [t. 1352 H],جميل بن مصطفى بن محمد حافظ المعروف بابن العظم [ت ١٣٥٢ هـ],Ibn al-ʿAẓm,ابن العظم,1352,-,-,-
2327,"ʿAlī b. al-Ḥasan al-Hunāʾī al-Azdī, Abū al-Ḥasan al-malaqab bi «Karāʾ al-Naml» (t. after 309 H)","علي بن الحسن الهُنائي الأزدي، أبو الحسن الملقب بـ «كراع النمل» (ت بعد ٣٠٩هـ)",Kurāʿ al-Naml,كراع النمل,309,-,-,-
2344,Rīnhārat Bītar Ān Dūzī (t. 1300 H),رينهارت بيتر آن دُوزِي (ت ١٣٠٠هـ),Reinhart Dozy,رينهارت دوزي,1300,-,-,-
2373,Mubārak b. Muḥammad al-Maylī al-Jazāʾirī (t. 1364 H),مبارك بن محمد الميلي الجزائري (ت ١٣٦٤هـ),Mubārak al-Mīlī,مبارك الميلي,1364,-,-,-
2400,Abū al-ʿAz Muhammad b. al-Ḥusayn b. Bandār al-Wāsiṭī al-Qalānisī (t. 521 H),أبو العز محمد بن الحسين بن بندار الواسطي القلانسي (ت ٥٢١ هـ),al-Qalānisī,القلانسي,521,-,-,-
2408,Abū ʿAlī al-Ḥasan b. Aḥmad b. ʿAbd al-Ghaffār al-Naḥwī (t. 377 H),أبو علي الحسن بن أحمد بن عبد الغفار النحوي (ت ٣٧٧ هـ),Abū ʿAlī al-Fārisī,أبو علي الفارسي,377,-,-,-
2421,Ḥasan Muḥammad Ayyūb (t. 1429 H),حسن محمد أيوب (ت ١٤٢٩هـ),Ḥasan Ayyūb,حسن أيوب,1429,-,-,-
2424,ʿAlī b. Muṣṭafā al-Ṭanṭāwī (t. 1420 H),علي بن مصطفى الطنطاوي (ت ١٤٢٠ هـ),ʿAlī al-Ṭanṭāwī,علي الطنطاوي,1420,-,-,-
2448,Abū ʿAlī al-Ḥasan b. ʿAlī b. Ibrāhīm b. Yazdād al-Ahwāzī (t. 446 H),أبو علي الحسن بن علي بن إبراهيم بن يزداد الأَهْوَازي (ت ٤٤٦هـ),al-Ahwāzī,الأهوازي,446,-,-,-
2515,Shihāb al-Dīn Aḥmad b. Ismāʿīl al-Kūrānī (812 H),شهاب الدين أحمد بن إسماعيل الكوراني (٨١٢,Aḥmad b. Ismāʿīl al-Kūrānī,أحمد بن إسماعيل الكوراني,893,-,-,-
2518,Munīr Muḥammad al-Ghaḍbān (t. 1435 H),منير محمد الغضبان (ت ١٤٣٥هـ),Munīr al-Ghaḍbān,منير الغضبان,1435,-,-,-
2524,Al-Mustashār Sālim ʿAlī al-Bahnasāwī (t. 1427 H),المستشار سالم علي البهنساوي (ت ١٤٢٧هـ),Sālim al-Bahnasāwī,سالم البهنساوي,1427,-,-,-
2588,Muḥammad al-Makkī al-Nāṣirī (t. 1414 H),محمد المكي الناصري (ت ١٤١٤هـ),Muḥammad al-Makkī al-Nāṣirī,محمد المكي الناصري,1414,-,-,-
2589,Abū al-Ashbāl Ṣaghīr Aḥmad Shāghif al-Bahārī al-Bākistānī,أبو الأشبال صغير أحمد شاغف البهاري الباكستاني,Aḥmad Shāghif,أحمد شاغف,1440,-,-,-
2592,Ḥasan Ḥusnī (ism murakkab) b. Ṣāliḥ b. ʿAbd al-Wahhab b. Yūsuf al-Ṣummādaḥī al-Tajībī al-Tūnisī (t. 1388 H),حَسن حُسني (اسم مركب) بن صالح بن عبد الوهاب بن يوسف الصُّمادحي التجيبي التونسي (ت ١٣٨٨هـ),Ḥasan Ḥusnī ʿAbd al-Wahhāb,حسن حسني عبد الوهاب,1388,-,-,-
2593,"Muḥammad al-Saʿīd, Abū Yaʿlā al-Zawāwī (t. 1373 H)","محمد السعيد، أبو يعلى الزواوي (ت ١٣٧٣هـ)",Abū Yaʿlā al-Zawāwī,أبو يعلى الزواوي,1373,-,-,-
2594,ʿAbd al-Laṭīf b. ʿAlī b. Aḥmad b. Muḥammad al-Sulṭānī al-Qanṭarī al-Jazāʾirī (t. 1404 H),عبد اللطيف بن علي بن أحمد بن محمد السلطاني القنطري الجزائري (ت ١٤٠٤هـ),ʿAbd al-Laṭīf Sulṭānī,عبد اللطيف سلطاني,1404,-,-,-
2595,ʿUmar al-ʿArabāwī al-Ḥamlāwī (t. 1405 H),عمر العرباوي الحملاوي (ت ١٤٠٥هـ),ʿUmar al-ʿArbāwī,عمر العرباوي,1405,-,-,-
2596,Muḥammad ʿAbd Allāh al-Sammān (t. 1428 H),محمد عبد الله السمان (ت ١٤٢٨هـ),Muḥammad ʿAbd Allāh al-Sammān,محمد عبد الله السمان,1428,-,-,-
2598,Aḥmad b. Sahal al-Rāzī (al-mutawaffī fī al-rubʿ al-awwal min al-qarn al-rābiʿ),أحمد بن سهل الرازي (المتوفي في الربع الأول من القرن الرابع),Aḥmad b. Sahl al-Rāzī,أحمد بن سهل الرازي,325,-,-,-
2599,Al-Dr. Muṣṭafā Khāldī,الدكتور مصطفى خالدي,Muṣṭafā al-Khālidī,مصطفى الخالدي,1398,-,-,-
2602,Muḥammad Muḥammad Ḥusayn (t. 1402 H),محمد محمد حسين (ت ١٤٠٢هـ),Muḥammad Muḥammad Ḥusayn,محمد محمد حسين,1402,-,-,-
2603,Abū al-Ṭāhir Ibrāhīm b. ʿAbd al-Ṣamad b. Bashīr al-Tanūkhī al-Maḥdawī (t. after 536 H),أبو الطاهر إبراهيم بن عبد الصمد بن بشير التنوخي المهدوي (ت بعد ٥٣٦هـ),Abū al-Ṭāhir b. Bashīr,أبو الطاهر ابن بشير,536,-,-,-
2605,Abū ʿAbd Allāh Muḥammad b. ʿAlī b. ʿUmar al-Tamīmī al-Māzarī al-Mālīkī (t. 536 H),أبو عبد الله محمد بن علي بن عمر التَّمِيمي المازري المالكي (ت ٥٣٦ هـ),al-Māzarī,المازري,536,-,-,-
2607,Muṣṭafā b. ʿAbd al-Raḥman b. Muḥammad al-Izmīrī (t. 1155 H),مصطفى بن عبد الرحمن بن محمد الإزميري (ت ١١٥٥ هـ),Muṣṭafā al-Izmīrī,مصطفى الإزميري,1156,-,-,-
2609,"Abū al-Wafāʾ, ʿAlī b. ʿAqīl b. Muḥammad b. ʿAqīl al-Baghdādī al-Ẓafrī, (t. 513 H)","أبو الوفاء، علي بن عقيل بن محمد بن عقيل البغدادي الظفري، (ت ٥١٣ هـ)",Abū al-Wafāʾ b. ʿAqīl,أبو الوفاء ابن عقيل,513,-,-,-
2610,,,Majhūlūn,مجهولون,529,-,-,-
2613,Ramaḍān Muṣṭafā al-Disūqī Ḥusnaynīn (t. 1433 H),رمضان مصطفى الدسوقى حسنين (ت ١٤٣٣هـ),Ramaḍān al-Dasūqī,رمضان الدسوقي,1433,-,-,-
2614,Sharaf al-Dīn al-Ḥusayn b. ʿAbd Allāh al-Ṭayyibī (743 H),شرف الدين الحسين بن عبد الله الطيبي (٧٤٣ هـ),al-Ṭībī,الطيبي,743,-,-,-
2617,"Al-Dr. ʿAbd al-Majīd Maḥmūd ʿAbd al-Majīd, Ustādh al-Sharīʿa al-Islāmiyya al-musāʿid bi-Kullīyyat Dār al-ʿUlum","الدكتور عبد المجيد محمود عبد المجيد، أستاذ الشريعة الإسلامية المساعد بكلية دار العلوم",ʿAbd al-Majīd Maḥmūd,عبد المجيد محمود,1443,-,-,-
2620,"Ibrāhīm b. Yūsuf b. Adham al-Wahrānī al-Ḥamzī, Abū Isḥāq Ibn Qirqūl (t. 569 H)","إبراهيم بن يوسف بن أدهم الوهراني الحمزي، أبو إسحاق ابن قرقول (ت ٥٦٩هـ)",Ibn Qarqūl,ابن قرقول,569,-,-,-
2621,"Muḥammad b. Aḥmad b. Muḥammad, Abū ʿAbd Allāh al-Muqaddamī (t. 301 H)","محمد بن أحمد بن محمد، أبو عبد الله المقدمي (ت ٣٠١هـ)",al-Muqaddamī,المقدمي,301,-,-,-
2623,"ʿAbd al-Khāliq b. Asad b. Thābit, al-Faqīh Abū Muḥammad al-Dimashqī al-Ḥanafī al-Muḥaddith al-Atṭrābulūsī al-Aṣl (t. 564 H)","عَبْد الخالق بْن أسد بْن ثابت، الفقيه أَبُو مُحَمَّد الدّمشقيّ الحنفيّ المحدِّث الأطْرابُلُسيّ الأصل (ت ٥٦٤هـ)",ʿAbd al-Khāliq b. Asad,عبد الخالق بن أسد,564,-,-,-
2624,"Al-Faḍīl al-Wartilānī al-Jazāʾirī, Ibrāhīm b. Muṣṭafā (t. 1378 H)","الفضيل الورتلاني الجزائري، إبراهيم بن مصطفى، (ت ١٣٧٨هـ)",al-Faḍīl al-Wartilānī,الفضيل الورتلاني,1378,-,-,-
2625,Abū al-Qāsim Saʿd Allāh (t. 1435 H),أبو القاسم سعد الله (ت ١٤٣٥هـ),Abū al-Qāsim Saʿd Allāh,أبو القاسم سعد الله,1435,-,-,-
